code,day,sport,venue,zone,type,starts_at,ends_at,timezone,duration_minutes,ticketed,in_okc,num_events
SHO14,11,Shooting (Rifle & Pistol),Long Beach Target Shooting Hall,Long Beach,Final,2028-07-25T14:30:00,2028-07-25T21:15:00,America/Los_Angeles,405,True,False,2
GAR15,11,Artistic Gymnastics,DTLA Arena,DTLA,Final,2028-07-25T16:00:00,2028-07-25T18:30:00,America/Los_Angeles,150,True,False,1
BSB20,11,Softball,OKC Softball Park,OKC,Preliminary,2028-07-25T16:00:00,2028-07-25T18:30:00,America/Chicago,150,True,True,1
WLF01,11,Weightlifting,Peacock Theater,DTLA,Final,2028-07-25T16:50:00,2028-07-25T19:00:00,America/Los_Angeles,130,True,False,1
HOC26,11,Hockey,Carson Field,Carson,Quarterfinal,2028-07-25T17:00:00,2028-07-25T22:00:00,America/Los_Angeles,300,True,False,1
TTE29,11,Table Tennis,LA Convention Center Hall 3,DTLA,Preliminary,2028-07-25T17:00:00,2028-07-25T22:00:00,America/Los_Angeles,300,True,False,1
VVO43,11,Volleyball,Honda Center,Anaheim,Quarterfinal,2028-07-25T17:00:00,2028-07-25T19:30:00,America/Los_Angeles,150,True,False,1
FBL53,11,Football (Soccer) - Final Stages,Rose Bowl Stadium,Pasadena,Semifinal,2028-07-25T17:30:00,2028-07-25T20:30:00,America/Los_Angeles,180,True,False,1
CKT22,11,Cricket,Fairgrounds Cricket Stadium,Pomona,Preliminary,2028-07-25T18:00:00,2028-07-25T21:30:00,America/Los_Angeles,210,True,False,1
SWM08,11,Swimming,2028 Stadium,Inglewood,Final,2028-07-25T18:00:00,2028-07-25T20:00:00,America/Los_Angeles,120,True,False,8
TEN35,11,Tennis,Carson Center Court,Carson,Semifinal,2028-07-25T18:30:00,2028-07-25T23:30:00,America/Los_Angeles,300,True,False,2
CLB04,11,Sport Climbing,Long Beach Climbing Theater,Long Beach,Semifinal,2028-07-25T18:45:00,2028-07-25T20:00:00,America/Los_Angeles,75,True,False,1
LAC04,11,Lacrosse,Exposition Park Stadium,Exposition Park,Preliminary,2028-07-25T19:00:00,2028-07-25T22:00:00,America/Los_Angeles,180,True,False,1
WRE04,11,Wrestling,LA Convention Center Hall 2,DTLA,Final,2028-07-25T19:00:00,2028-07-25T22:45:00,America/Los_Angeles,225,True,False,9
ARC11,11,Archery,Carson Stadium,Carson,Final,2028-07-25T19:30:00,2028-07-25T23:10:00,America/Los_Angeles,220,True,False,4
BSB21,11,Softball,OKC Softball Park,OKC,Preliminary,2028-07-25T20:00:00,2028-07-25T22:30:00,America/Chicago,150,True,True,1
BKB35,11,Basketball,Inglewood Dome,Inglewood,Quarterfinal,2028-07-25T20:00:00,2028-07-25T22:00:00,America/Los_Angeles,120,True,False,1
VBV33,11,Beach Volleyball,Alamitos Beach Stadium,Long Beach,Quarterfinal,2028-07-25T20:00:00,2028-07-25T22:00:00,America/Los_Angeles,120,True,False,2
SKB06,11,Skateboarding (Park),Valley Complex 2,Valley,Preliminary,2028-07-25T20:00:00,2028-07-25T23:00:00,America/Los_Angeles,180,True,False,1
FBL54,11,Football (Soccer) - Final Stages,Rose Bowl Stadium,Pasadena,Semifinal,2028-07-25T20:30:00,2028-07-25T23:30:00,America/Los_Angeles,180,True,False,1
WLF02,11,Weightlifting,Peacock Theater,DTLA,Final,2028-07-25T20:50:00,2028-07-25T23:00:00,America/Los_Angeles,130,True,False,1
VVO44,11,Volleyball,Honda Center,Anaheim,Quarterfinal,2028-07-25T21:00:00,2028-07-25T23:30:00,America/Los_Angeles,150,True,False,1
